,Id,mother_id,mother_name,father_id,father_name,Name,Gender,Job,House,Wand,Patronus,Species,Blood status,Hair colour,Eye colour,Loyalty,Skills,Description,Birth,Death
10,11,-1,Mrs Finnigan,-1,Mr Finnigan,Seamus Finnigan,Male,Student,Gryffindor,Unknown,Fox,Human,Half-blood,Sandy,,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Pyrotechnics,"Seamus Finnigan is an Irish boy with sandy hair, who is in the same Gryffindor dormitory as Harry. He is a half-blood: his father is a Muggle, and his mother didn’t tell his dad that she was a witch until after they were married, which was a “bit… ", 1 September 1979- 31 August 1981,
11,12,-1,Mrs Evans,-1,Mr Evans,Lily J. Potter,Female,,Gryffindor,"10¼""  Willow  unknown core",Doe,Human,Muggle-born,Auburn,Bright green,Order of the Phoenix,,"Lily Potter is the mother of Harry Potter, who shared with Harry the most striking aspect of her appearance, her brilliant green, almond-shaped eyes (OP28). Lily was born to a Muggle family and grew up with her sister, Petunia, not far from Spinner’s End in the town of Cokeworth… ",30 January  1960 ,31 October 1981
12,13,-1,Euphemia Potter,-1,Fleamont Potter,James Potter,Male,,Gryffindor,"11""  Mahogany  unknown core",Stag,Human,Pure-blood,Black,Hazel,Order of the Phoenix,Animagus| Seeker,"James Potter is a young wizard who fought against Voldemort in the 1970s, only to be killed along with his wife Lily while trying to protect their 15-month-old son Harry. James is the father of Harry Potter, and nearly identical to him in appearance except with hazel eyes (OP28). ",27 March  1960,31 October 1981
13,14,TODO,Walburga Black,TODO,Orion Black,Sirius Black,Male,,Gryffindor,Unknown,Unknown,Human,Pure-blood,Black,Grey,Order of the Phoenix,Animagus| nonverbal magic| Charms,"Sirius Black was James Potter’s closest friend, Harry Potter’s godfather, and an Animagus, who was falsely accused of betrayal and murder and imprisoned in Azkaban. Sirius Black was the elder of two boys born to an aristocratic family that was fiercely proud of its pureblood status and vehemently anti-Muggle. Unlike his younger brother Regulus and… ",3 November  1959,18 June 1996
14,15,-1,Hope (Howell) Lupin,-1,Lyall Lupin,Remus John Lupin,Male,Professor of Defence Against the Dark Arts ,Gryffindor,"10¼"" Cypress unicorn hair",Wolf,Werewolf,Half-blood,Light brown flecked with grey,Green,Order of the Phoenix,Exceptionally gifted in Defence Against the Dark Arts,"Harry, Hermione and Ron saw Professor Remus J. Lupin for the first time on the Hogwarts Express, wearing extremely shabby wizard’s robes. Lupin has light brown hair flecked with gray, though he is quite young. He looked ill and exhausted; Ron observed, “He looks like one good hex would finish… ",10 March  1960,2 May 1998
15,16,-1,Mrs Pettigrew,-1,Enid Pettigrew,Peter Pettigrew,Male,The Servant of Lord Voldemort,Gryffindor,"9¼"" Chestnut dragon heartstring",None,Human,Half-blood or pure-blood,Colourless and balding,Blue,Lord Voldemort| Death Eaters,Animagus,"Pettigrew entered Hogwarts at the same time as Sirius Black, James Potter, and Remus Lupin, a group of friends who came to call themselves the “Marauders.” He was not as skilled a wizard as his friends, and seemed to hang out with them largely because he idolized them (PA10). ",1 September 1959- 31 August 1960,Late March 1998
16,17,31,Molly (Prewett) Weasley,32,Arthur Weasley,Percy Ignatius Weasley,Male,Student|Prefect|Personal assistant to Barty Crouch Snr ,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Blue,Order of the Phoenix| Hogwarts School of Witchcraft and Wizardry |British Ministry of Magic,Intelligent| hard-working| a model student,"Percy Weasley, an ambitious and rather pompous young man, is unquestionably the black sheep of the Weasley family. ",22 August 1976 ,
17,18,31,Molly (Prewett) Weasley,32,Arthur Weasley,(Bill) William Arthur Weasley,Male,Curse-Breaker for Gringotts Bank,Gryffindor,Unknown,Unknown,Human (Werewolf traits),Pure-blood,Red,Blue,Order of the Phoenix,Highly skilled curse-breaker for Gringotts Wizarding Bank| very intelligent| past Hogwarts Head Boy,"William Arthur Weasley (Bill) is the oldest child of the Weasley family and is an adventurous person who works for Gringotts. Bill is married to Fleur Delacour. The oldest son of Arthur and Molly Weasley, Bill is a caring, noble wizard who can’t resist a bit of “adventure and glamour” (… ",29 November 1970,
18,19,31,Molly (Prewett) Weasley,32,Arthur Weasley,Charlie Weasley,Male,Dragonologist,Gryffindor,"12""  Ash unicorn tail hair",Unknown,Human,Pure-blood,Red,Grey,Order of the Phoenix | Gringotts Wizarding Bank,Highly skilled dragon trainer| one-time Gryffindor Seeker,"Charlie Weasley is Ron’s second oldest brother who works with dragons in Romania. Charlie is an “outdoor type” who has spent his whole adult life working with dragons in Romania (CS4, CS14). The second-oldest son of Arthur andMolly Weasley, Charlie is stocky and very freckly (GF4), and he… ",12 December  1972,
19,20,-1,-,-1,Mr Jordan,Lee Jordan,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Quidditch commentary | broadcasting,"Lee Jordan is a Gryffindor and Hogwarts student during the 1990s. He is two years older than Harry and Ron. He had dreadlocks (OP10) and is best friend and compatriot of Fred and George Weasley. When Harry was on Platform Nine and Three-Quarters for the first time,… ", 1 September 1977- 31 August 1978,
20,21,-1,Mrs Wood,-1,Mr Wood,Oliver Wood,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or Half-blood,,,Hogwarts School of Witchcraft and Wizardry,Keeper|  Captain of the Gryffindor Quidditch team,"Oliver Wood is a Gryffindor (1987-1994) and Quidditch team Captain and Keeper 1990-1994 (and possibly earlier). Oliver Wood was the “burly” Captain of the Gryffindor Quidditch team when Harry arrived at Hogwarts, and possibly the most passionate Quidditch fanatic in the school (PS7), Oliver… ", October 1975 - 31 August 1976,
21,22,-1,-,-1,Mr Johnson,Angelina Johnson,Female,Student,Gryffindor,Unknown,Unknown,Human,Unknown,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,"Angelina Johnson is a tall, black (GF16) Gryffindor girl two years older than Harry. She is an excellent Quidditch player (a Chaser) (PS11) and was captain of the Gryffindor Quidditch Team during the 1995-1996 school year (OP12). Angelina put her name in for… ",24 – 30 October  1977,
22,23,-1,Mrs Bell,-1,Mr Bell,Katie Bell,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,"Katie Bell is a Gryffindor girl a year older than Harry, one of the three Chasers on the Gryffindor Quidditch team during most of Harry’s years at Hogwarts. Oliver Wood considered her to be a superb Chaser (PA8), along with Angelina Johnson and Alicia Spinnet,… ", 1 September 1978- 31 August 1979,
23,24,-1,-,-1,-,Alicia Spinnet,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,"Alicia Spinnet was a Gryffindor girl two years (CS7) ahead of Harry Potter, in the same year as Angelina Johnson, Fred and George Weasley and Lee Jordan. She played Chaser on the Gryffindor Quidditch team with Harry (PS11). She was made a full member… ",1 September 1977- 31 August 1978,
24,25,-1,Mrs Brown,-1,Mr Brown,Lavender Brown,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Blond,Blue,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination,"Lavender Brown was a Gryffindor student in the same year as Harry Potter. She was best friends with Parvati Patil. Lavender tended to squeal and giggle a lot, and generally gave the impression of her being silly. She was keen on Divination, having been convinced of Trelawney’s powers after a… ", 1 September 1979- 31 August 1980,2 May 1998
25,26,-1,Mrs Patil,-1,Mr Patil,Parvati Patil,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Dark,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination,"Parvati Patil was a Gryffindor in Harry’s year. She was good friends with Lavender Brown. Parvati had long dark hair which she wore in a plait. Harry by his fourth year thought her very pretty, while Dean Thomas considered her and her twin to be the best-looking girls in their… ", 1 September 1979- 21 April 1980,
26,27,-1,-,-1,-,Romilda Vane,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spiking Chocolate Cauldrons with love potion,"Romilda Vane was a Gryffindor, two years behind Harry Potter at Hogwarts, who went to great lengths to try to win his heart. She had dark eyes and long, dark hair. Romilda made it very obvious in her fourth year that she was pursuing Harry Potter (HBP7). Among other… ", 1 September 1981- 31 August 1982,
27,28,-1,-,-1,Mr Creevey,Colin Creevey,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Mousy,,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Photography,"Colin Creevey was a very excitable, rather short boy with mousy brown hair who was just tickled to death to discover that he was a wizard and to find out about Hogwarts (his father is a Muggle milkman, so Colin is Muggle-born). Colin is very excited to know the famous… ", 3 May - 31 August 1981,2 May 1998
28,29,-1,-,-1,-,Cormac McLaggen,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Blond,,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Quidditch Keeper,"Cormac McLaggen was a “large, wiry-haired youth” and member of the Slug Club. He had a famous “Uncle Tiberius” who was a favorite student of Horace Slughorn’s (HBP7). During his seventh year Cormac tried out for Keeper of the Gryffindor Quidditch team, but was beaten… ", 1 September 1978- 31 August 1979,
29,30,-1,Isobel (Ross) McGonagall,-1,Robert McGonagall,Minerva McGonagall,Female,Professor of Transfiguration | Head of Gryffindor,Gryffindor,"9½"" Fir dragon heartstring",Cat,Human,Half-blood,Black,Green,Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Animagus,"Minerva McGonagall was the Transfiguration professor and Deputy Headmistress at Hogwarts for over forty years, and a powerful witch and Animagus (PS1, PS4). McGonagall has a stern exterior, keeping her classes strictly controlled and following the rules closely (PS8), yet has a warm heart and… ",4 October,
30,31,TODO,-,TODO,-,Molly Weasley,Female,,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Bright brown,Order of the Phoenix,Household spells| healing magic,"Molly Weasley is a middle-aged witch, wife of Arthur Weasley and mother of seven, who puts her family first in everything she does. Molly is a very capable witch in her own right. She is one of the “old crowd,” a group of witches and wizards who are faithful and… ",30 October  1949 ,
31,32,-1,Cedrella Weasley,-1,Septimus Weasley,Arthur Weasley,Male,Head of the Misuse of Muggle Artefacts Office,Gryffindor,Unknown,Weasel,Human,Pure-blood,Red,Green,Order of the Phoenix| British Ministry of Magic,Muggle world works,"An easy-going, middle-aged wizard with a passion for Muggles, and whose dearest ambition is to learn how airplanes fly. Arthur fought, along with the rest of his family, in the Battle of Hogwarts in May, 1998. He and Molly have at least twelve grandchildren, and it is a good bet that… ",6 February  1950,
32,33,-1,-,-1,-,Quirinus Quirrell,Male,Professor of Defence Against the Dark Arts(1991-1992),Ravenclaw,"9"" Alder unicorn hair bendy",Non-corporeal,Human,Half-blood,,,Lord Voldemort,Learned in the theory of Defensive Magic| less adept in the practise,"Quirinus Quirrel was a young wizard with a “brilliant mind,” was a professor of Muggle Studies, and later of Defence Against the Dark Arts, at Hogwarts (PS5, BLC). In between holding these two posts he took a year off to gain experience dealing with Dark Arts… ",26 September 1970 or earlier,4 June 1992
33,34,-1,Mrs Chang,-1,Mr chang,Cho Chang,Female,Student,Ravenclaw,Unknown,Swan,Human,Pure-blood or half-blood,Black,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Seeker,"Cho Chang was a popular, pretty Ravenclaw student in the year above Harry who was his girlfriend for awhile. She loved Quidditch — she was a fan of the Tutshill Tornados since she was six — and was the Seeker for the Ravenclaw Quidditch team (PA13,… ",1 September 1978-31 August 1979,
34,35,-1,Pandora Lovegood,-1,Xenophilius Lovegood,Luna Lovegood,Female,Student,Ravenclaw,Unknown,Hare,Human,Pure-blood or half-blood,Dirty-blonde,Pale silvery,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Spotting Nargles,"Luna Lovegood is a witch in Ginny’s year, a brave member of Dumbledore’s Army and a Ravenclaw, who is considered a bit weird by her classmates. She comes by this reputation honestly: Luna simply isn’t like the other kids at all. She dresses unusually, she proclaims her… ",13 February  1981,
35,36,-1,Mrs Lockhart,-1,Mr Lockhart,Gilderoy Lockhart,Male,Defence Against the Dark Arts(1992-1993),Ravenclaw,"9"" Cherry dragon heartstring",Non-corporeal,Human,Half-blood,Blond,Blue,,,"Gilderoy Lockhart is a celebrity wizard and author, on staff for the 1992-1993 school year at Hogwarts as Professor of Defense Against the Dark Arts. ",26 January 1964,
36,37,-1,-,-1,-,Filius Flitwick,Male,Professor of Charms | Head of Ravenclaw,Ravenclaw,Unknown,Non-corporeal,Human(goblin ancestry),Part-Goblin,White,,,Charms,"Filius Flitwick is the Charms professor at Hogwarts and the Head of Ravenclaw House. He is very small in stature (he needs to stand on a pile of books to see over his desk), but not small in magical ability. He was an accomplished wizard and, according to rumor, was… ",17 October 1958 or earlier ,
37,38,-1,Mrs Trelawney,-1,Mr Trelawney,Sybill Patricia Trelawney,Female,Professor of Divination,Ravenclaw,9 ½” hazel unicorn hair core,Non-corporeal,Human,Half-blood,,,,A Seer  though the gift is unpredictable and unconscious,"Sybill Patricia Trelawney is the Divination professor at Hogwarts. She is the great-great-granddaughter of Cassandra Trelawney, a very gifted, very famous Seer (OP37). Hermione considers her to be nothing but an old fraud, but Trelawney has her moments. ",9 March prior to 1962 ,
38,39,-1,Mrs Ollivander,-1,Gervaise Ollivander,Garrick Ollivander,Male,Wandmaker,Ravenclaw,"12¾"" Hornbeam dragon heartstring",Non-corporeal,Human,Half-blood,,Silvery,,An incomparable understanding of wandcraft,"Garrick Ollivander is an old wandmaker – “the best” according to British witches and wizards – who runs Ollivander’s on Diagon Alley (HBP6). He has eerie, moon-like eyes and makes Harry a bit uncomfortable, as he seems just as fascinated by the power of wands used for evil as… ",25 September  pre 1908,
39,40,-1,Mrs Warren,-1,Mr Warren,Myrtle Elizabeth Warren,Female,Student,Ravenclaw,Unknown,Unknown,Ghost,Muggle-born,,,,,Myrtle Elizabeth Warren was a Ravenclaw student in the 1940s who was killed by the basilisk from the Chamber of Secrets. She became the ghost known as Moaning Myrtle. ,14 June 1928 -13 June 1929,13 June 1943
40,41,,Mrs Patil,,Mr Patil,Padma Patil,Female,Student,Ravenclaw,Unknown,Non-corporeal,Human,Pure-blood or half-blood,Dark,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect,"Padma Patil is an identical twin of Parvati Patil. Padma attended the Yule Ball in her fourth year (December 1994) with Ron Weasley, as a blind date arranged through her sister and Harry Potter(GF23), but it did not go well (GF24). Padma wore robes of bright turquoise (in… ", 1 September 1979 - 21 April 1980,
41,42,,-,,-,Michael Corner,Male,Student,Ravenclaw,Unknown,Squirrel,Human,Half-blood,Black,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Potions,"Ravenclaw, 1991 – 1998 Michael is a dark-haired boy who met Ginny Weasley at the Yule Ball and began dating her at the end of the 1994 – 1995 school year; through Ginny, Michael and his friends joined the DA (OP16). Michael sulked so much after Gryffindor defeated… ", 1 September 1979 - 31 August 1980,
42,43,,Madam Edgecombe,,Mr Edgecombe,Marietta Edgecombe,Female,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,Reddish-blonde,Grey,,Covering up the spots that blight her face after betraying Dumbledore's Army,"Marietta Edgecombe was a friend of Cho Chang’s with curly, reddish-blonde hair. Marietta was dragged to D.A. meetings by Cho and signed her name to the parchment that listed members of the group (OP16). However, when she later betrayed the group to Umbridge in order to protect her mother’s… ",1978-1979,
43,44,,-,,-,Terry Boot,Male,Student,Ravenclaw,Unknown,Unknown,Human,Pure-blood or half-blood,,,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Potions  also knowledgable about Charms,"Terry Boot is a Ravenclaw boy in Harry’s year at Hogwarts. Terry checked out Quidditch Through the Ages on 21 August (QA). He joined the DA October 1995, apparently having heard about it as a friend of Michael Corner (OP16). He was one of the DA members who helped Harry… ",1 September 1979- 21 April 1980,
44,45,,-,,-,Anthony Goldstein,Male,Student,Ravenclaw,Unknown,Non-corporeal,Human,Half-blood,Blonde,Grey,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Prefect,Anthony Goldstein was a Ravenclaw student in Harry’s year who became a prefect (OP10) and a member of the D.A. (OP16). He fought in the Battle of Hogwarts (DH29 ff.). , 1 September 1979- 31 August 1980,
45,46,,Eileen (Prince) Snape,,Tobias Snape,Severus Snape,Male,Professor of Potions | Head of Slytherin,Slytherin,Unknown,Doe,Human,Half-blood,Black,Black,,Extremely skilled at potions and Occlumency,"Severus Snape was Potions Master, Defense Against the Dark Arts teacher, and Head of Slytherin at Hogwarts School of Witchcraft and Wizardry; he succeeded Dumbledore as Headmaster. He was personally killed by Lord Voldemort and his snake, Nagini. Snape was a conundrum to all who know him: sarcastic and hard… ",9 January 1960,2 May  1998
46,47,,Narcissa (Black) Malfoy,,Lucius Malfoy,Draco Malfoy,Male,Student,Slytherin,"10"" Hawthorn unicorn hair",Unknown,Human,Pure-blood,White-blond,Grey,,Prefect  Seeker,"Draco Malfoy is the son and only child of Lucius and Narcissa Malfoy and was a student at Hogwarts in the same year as Harry Potter. He is a rival of Harry, actively trying to undermine him in any way he can. Draco has white-blond hair and a pale, pointed face. ",5 June  1980,
47,48,,Irma Black,,Mr Crabbe,Vincent Crabbe,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Black,Black,,Beater,"Crabbe was the son of a Death Eater and, along with Gregory Goyle, a crony of Draco Malfoy. Crabbe is quite dense, although he seems to be a little brighter than Goyle. Throughout his first six years at Hogwarts, Crabbe and Goyle sycophantically followed Draco Malfoy around and served as… ",c. 1979-1980,2 May  1998
48,49,,Mrs Goyle,,Mr Goyle,Gregory Goyle,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood,Brown,,,Beater,"Gregory Goyle is one of Draco Malfoy’s thuggish cronies. Goyle has short, bristly hair that extends down onto his forehead. His eyes are small, dull, and deep set, and he speaks with a low, raspy voice. He’s a mean bully who enjoys whatever chance he gets to boss people around,… ",1 September 1979-31 August 1980,
49,50,,Druella (Rossier) Black,,Cygnus Black III,Bellatrix Lestrange,Female,,Slytherin,"12¾"" Walnut dragon heartstring",,Human,Pure-blood,Black,,Lord Voldemort  | Death Eaters,She is a duellist of great skill and an experienced Occlumens,"Bellatrix Lestrange was one of Voldemort’s most devoted Death Eaters, a cruel and vicious woman who was guilty of torturing and murdering wizards and Muggles alike. Bella, as she was sometimes called, was the oldest daughter of Druella Rosier and Cygnus Black of the “Noble and Most Ancient House of Black.”… ",1951,2 May  1998
50,51,,Ellen Cracknell,,Orford umbridge,Dolores Jane Umbridge,Female,Professor of Defence Against the Dark Arts | Department of Magical Law Enforcement,Slytherin,"8"" Birch dragon heartstring",Cat,Human,Half-blood,Iron grey,,Ministry of Magic,Her punishment quill is of her own invention,"Dolores Umbridge was Senior Undersecretary to the Minister (OP8) and later highly unpopular teacher of Defence Against the Dark Arts at Hogwarts (OP11). She forced Dumbledore out and replaced him as Headmaster (OP28). In the Death Eater controlled Ministry of Pius Thicknesse, Umbridge… ",26 August,
51,52,,-,,-,Horace Eugene Flaccus Slughorn,,Professor of Potions ,Slytherin,"10¼"" Cedar dragon heartstring fairly flexible",Non-corporeal,Human,Pure-blood or half-blood,Bald,Gooseberry,,Accomplished Occlumens  expert Potioneer  advanced self-transfiguration,"Horace Slughorn is a teacher at Hogwarts. He served as Potions Master until 1981, then again from 1996. He was also Head of Slytherin house for the school year 1997-1998. At the beginning of Harry’s 6th year at Hogwarts, Dumbledore and Harry convince a genial wizard named Horace Slughorn to come… ",28 April,
52,53,,Narcissa (Black) Malfoy,,Abraxas Malfoy,Lucius Malfoy,Male,School Governor,Slytherin,Elm and dragon heartstring,Unknown,Human,Pure-blood,White-blond,Grey,Lord Voldemort | Death Eaters,Skilled duellist and potioneer,"Lucius Malfoy is the patriarch of the prestigious pure-blood Malfoy family, father of Draco Malfoy and one of Voldemort’s top Death Eaters. Lucius was a Death Eater during Voldemort’s first “reign of terror.” However after the Dark Lord disappeared, Malfoy “came back saying he’d never meant any of it” (… ",c. 1954,
53,54,,Druella (Rossier) Black,,Cygnus Black III,Narcissa Malfoy,Female,,Slytherin,Unknown,Unknown,Human,Pure-blood,Blonde,Blue,Lord Voldemort | Death Eaters,,"Narcissa Malfoy is Lucius’ wife and Draco’s mother, a blonde with blue eyes and a look on her face as if there were something smelly under her nose (GF8). She is fiercely protective of her son. Draco wanted to go to Durmstrang instead of Hogwarts but Narcissa nixed this… ",1955,
54,55,,Walburga Black,,Orion Black,Regulus Arcturus Black,Male,,Slytherin,Unknown,Non-corporeal,Human,Pure-blood,Black,,,Seeker,"Regulus Black was the younger brother of Sirius Black. Unlike Sirius, Regulus was favored by their parents because he shared their overweening pride in their heritage and their belief in pure-blood supremacy; indeed, Regulus became one of Voldemort’s Death Eaters around 1977 at the age of sixteen. Sirius… ",1961,1979
55,56,,-,,-,Pansy Parkinson,Female,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,,,,Prefect,"Described by Harry as “a hard-faced Slytherin girl” (PS9) and as having a face “like a pug” (PA6, GF27). She was the ringleader of a “gang of Slytherin girls” (OP25). Like Draco, Pansy tended to pick on and try to intimidate those who were weaker — or just different — than she, and often… ",1 September1979- 31 August 1980,
56,57,,Mrs Zabini,,-,Blaise Zabini,Male,Student,Slytherin,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Brown,,Chaser,"Blaise Zabini was a Slytherin in Harry’s year (1991-1998) (PS7). Blaise shares Draco’s prejudice against Muggle-born witches and wizards; he has a contemptuous and arrogant manner. Ginny considers Blaise a “poser.” (HBP7). He is a member of the Slug Club due to his famous mother, who has had seven… ",1 September 1979 – 21 April  1980,
